datetime,vt_symbol,volume,price,operation
2019-08-08 09:30:00,600000.SSE,0,103.18809,close
2019-08-15 09:30:00,600000.SSE,0,103.18809,defend
2019-11-22 09:30:00,600000.SSE,0,109.01899,defend
2019-12-18 09:30:00,600000.SSE,0,103.18809,defend
2020-01-06 09:30:00,600000.SSE,0,103.18809,defend
2020-05-13 09:30:00,600000.SSE,0,99.3025,attact
2020-06-02 09:30:00,600000.SSE,0,99.3025,close
2020-06-12 09:30:00,600000.SSE,0,99.3025,defend
2020-12-08 09:30:00,600000.SSE,0,90.84916,enlarge
2021-01-25 09:30:00,600000.SSE,0,90.84916,close
2021-02-02 09:30:00,600000.SSE,0,90.84916,enlarge
2021-02-08 09:30:00,600000.SSE,0,90.84916,close
2021-05-28 09:30:00,600000.SSE,0,100.66281,enlarge
2021-09-22 09:30:00,600000.SSE,0,87.15689,enlarge
